省份,中标企业,占比,金额(万元),折扣
安徽,润建股份有限公司,22%,19502.52,85%
安徽,南京远风通信科技有限公司,19%,15956.60,85%
安徽,中通服建设有限公司,17%,15152.02,85%
安徽,和勤通信技术有限公司,15%,14181.53,85%
安徽,贝通通信集团有限公司,15%,13257.11,87%
安徽,中邮建技术有限公司,12%,10637.74,85%
北京,润建股份有限公司,30%,12891.72,85%
北京,广东怡创科技股份有限公司,27%,11602.55,86%
北京,武汉虹信技术服务有限责任公司,25%,10743.10,85%
北京,浙江省邮电工程建设有限公司,18%,7731.92,86%
福建,广东长实通信科技有限公司,16%,14227.74,90%
福建,和勤通信技术有限公司,15%,13318.51,91%
福建,广东海格怡创科技有限公司,14%,12449.28,90%
福建,嘉环科技股份有限公司,13%,11560.04,90%
福建,中通服建设有限公司,12%,10670.81,90%
福建,武汉虹信技术服务有限责任公司,11%,9781.57,90%
福建,贝通通信集团有限公司,10%,8892.34,91%
福建,中国通信建设第一工程局有限公司,9%,8003.11,91%
甘肃,润建股份有限公司,33%,4771.18,91%
甘肃,嘉环科技股份有限公司,29%,4614.07,93%
甘肃,武汉虹信技术服务有限责任公司,26%,4156.76,92%
甘肃,中国通信建设第四工程局有限公司,12%,2386.59,92%
广东,润建股份有限公司,17%,40149.43,89%
广东,广东海格怡创科技有限公司,15%,33314.14,87%
广东,贝通通信集团有限公司,13%,30725.21,85%
广东,中通服建设有限公司,11%,26043.78,88%
广东,中国铁通有限公司,9%,21206.54,88%
广东,武汉虹信技术服务有限责任公司,8%,18940.92,87%
广东,中邮建技术有限公司,7%,16573.31,89%
广东,中通服建设有限公司,6%,14205.70,87%
广东,浙江省邮电工程建设有限公司,5%,11838.08,86%
广东,鼎人通信技术服务股份有限公司,4%,9470.46,85%
广东,广东长实通信科技有限公司,3%,7162.85,90%
广东,越讯通信股份有限公司,2%,4725.23,85%
广西,润建股份有限公司,24%,17182.18,92%
广西,广东海格怡创科技有限公司,19%,13602.56,92%
广西,中通服建设有限公司,15%,10738.86,89%
广西,越讯通信股份有限公司,13%,9307.01,91%
广西,盛夏光安科技股份有限公司,12%,8591.29,92%
广西,湖南常德信通网络维护有限公司,10%,7159.24,93%
广西,中国通信建设第一工程局有限公司,7%,5011.47,90%
贵州,润建股份有限公司,22%,21265.53,86%
贵州,广东长实通信科技有限公司,20%,19332.28,87%
贵州,广东怡创科技股份有限公司,17%,16432.44,86%
贵州,中通服建设有限公司,16%,15445.82,86%
贵州,鼎人通信技术服务股份有限公司,14%,13532.60,86%
贵州,宜通世纪科技股份有限公司,11%,10632.75,86%
海南,中通服建设有限公司,45%,8481.06,95%
海南,武汉虹信技术服务有限责任公司,30%,5654.04,95%
海南,嘉环科技股份有限公司,25%,4711.70,93%
河北,润建股份有限公司,22%,13166.47,90%
河北,贝通通信集团有限公司,19%,11371.04,91%
河北,博浩通信股份有限公司,16%,9575.62,92%
河北,广东海格怡创科技有限公司,14%,8328.66,91%
河北,宜通世纪科技股份有限公司,12%,7181.71,91%
河北,越讯通信股份有限公司,9%,5386.28,91%
河北,兴健通信股份有限公司,8%,4787.03,87%
河南,润建股份有限公司,21%,22395.79,88%
河南,和勤通信技术有限公司,20%,21329.32,91%
河南,广东怡创科技股份有限公司,17%,18129.92,91%
河南,南京远风通信科技有限公司,16%,17063.46,89%
河南,广东长实通信科技有限公司,14%,14930.52,89%
河南,宜通世纪科技股份有限公司,12%,12797.19,93%
黑龙江,广东海格怡创科技有限公司,32%,10206.53,92%
黑龙江,贝通通信集团有限公司,26%,8292.80,92%
黑龙江,越讯通信股份有限公司,23%,7326.94,91%
黑龙江,嘉环科技股份有限公司,19%,6056.11,90%
湖北,润建股份有限公司,20%,16542.36,79%
湖北,贝通通信集团有限公司,18%,14888.12,81%
湖北,广东长实通信科技有限公司,17%,14061.01,82%
湖北,南京远风通信科技有限公司,16%,13233.89,82%
湖北,广东海格怡创科技有限公司,15%,12406.77,84%
湖北,中通服建设有限公司,14%,11579.65,84%
湖南,润建股份有限公司,22%,22158.66,92%
湖南,嘉环科技股份有限公司,18%,18129.82,92%
湖南,广东怡创科技股份有限公司,16%,16115.39,92%
湖南,贝通通信集团有限公司,14%,14100.97,91%
湖南,中邮建技术有限公司,12%,12086.54,92%
湖南,中通服建设有限公司,10%,10072.12,90%
