序号,中标企业,省份数量,预算金额(万元)
1,润建股份有限公司,21,371558.73
2,广东海格怡创科技有限公司,16,226227.53
3,广东长实通信科技有限公司,13,235892.19
4,宜通世纪科技股份有限公司,11,144723.71
5,嘉环科技股份有限公司,10,154357.62
6,元道通信股份有限公司,10,104353.29
7,唐人通信技术服务股份有限公司,7,117878.89
8,超讯通信股份有限公司,7,59434.41
9,和勤通信技术有限公司,6,117919.91
10,中全通技术有限公司,6,75047.89
11,中邮建技术有限公司,6,62173.98
12,武汉虹信技术服务有限责任公司,6,53545.16
13,中贝通信集团股份有限公司,5,78830.19
14,中国通信建设第四工程局有限公司,5,55853.52
15,浙江省邮电工程建设有限公司,4,48573.02
16,中通服建设有限公司,4,40832.26
17,南京欣网通信科技股份有限公司,3,46253.95
18,浙江东冠通信技术股份有限公司,3,44154.72
19,中移铁通有限公司,2,30309.00
20,山东省邮电工程有限公司,2,25226.83
21,四川省集胜网络工程有限责任公司,2,21563.90
22,湖南美联通通信网络维护有限公司,2,15216.94
23,中国通信建设第一工程局有限公司,2,13014.57
24,中时讯通信建设有限公司,1,15015.01
25,江苏十方通信股份有限公司,1,13346.67
26,重庆信科通信工程有限公司,1,13082.20
27,中源通信服务有限公司,1,12797.59
28,中企科信技术股份有限公司,1,12792.08
29,杭州纵横通信股份有限公司,1,12170.50
30,浙江省通信产业服务有限公司,1,11838.08
31,中富通集团股份有限公司,1,10738.86
32,立昂技术股份有限公司,1,10659.57
33,博信通信股份有限公司,1,9575.62
34,中惺科技集团有限公司,1,4787.81
