2026-03-23 08:00:16 | ROOT_CAUSE: 未知原因 | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=3 | GwThreads=30 | GwHandles=373 | GwMem=535MB | GwChildProcs=0
2026-03-23 08:01:20 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=3 | GwThreads=30 | GwHandles=374 | GwMem=536MB | GwCPU=37.703125
2026-03-23 08:32:04 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=3 | GwThreads=31 | GwHandles=383 | GwMem=535MB | GwCPU=50
2026-03-23 09:32:31 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=385 | GwMem=626MB | GwCPU=93.71875
2026-03-23 09:33:29 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=385 | GwMem=625MB | GwCPU=96.734375
2026-03-23 09:34:29 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=385 | GwMem=622MB | GwCPU=98.78125
2026-03-23 09:35:29 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=385 | GwMem=501MB | GwCPU=100.96875
2026-03-23 09:36:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=1 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=31 | GwHandles=376 | GwMem=507MB | GwCPU=17.59375
2026-03-23 09:37:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=1 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=488MB | GwCPU=22.171875
2026-03-23 09:38:49 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=530MB | GwCPU=24.734375
2026-03-23 09:39:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=538MB | GwCPU=26.90625
