2026-03-23 19:36:45 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=615MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:37:47 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=635MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:38:50 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=669MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:39:47 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=691MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:40:52 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=661MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:41:49 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=651MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:42:53 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=635MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:43:48 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=648MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:44:52 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=673MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:45:48 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=650MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:46:52 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=645MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:47:45 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=666MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:48:47 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=651MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:49:50 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=696MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:50:45 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=677MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:51:54 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=673MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:52:46 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=720MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:53:47 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=669MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:54:53 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=705MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:55:51 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=548MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:56:48 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=633MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:57:45 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=648MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:58:45 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=649MB | GwPID=8968 | GwAlive=OK
2026-03-23 11:59:49 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=656MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:00:50 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=662MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:01:57 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=653MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:02:53 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=673MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:03:47 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=695MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:04:46 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=703MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:05:51 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=673MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:06:48 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=662MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:07:50 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=690MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:08:45 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=691MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:09:50 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=692MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:10:48 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=381 | GwMem=689MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:11:46 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=703MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:12:53 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=701MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:13:48 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=677MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:14:47 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=735MB | GwPID=8968 | GwAlive=OK
2026-03-23 12:15:53 | ESTABLISHED=1 | TIME_WAIT=0 | CLOSE_WAIT=0 | FIN_WAIT2=0 | Chrome=7 | Node=4 | GwHandles=380 | GwMem=705MB | GwPID=8968 | GwAlive=OK
